experiment,step,metric,value
DC-PPO (50M+50M),22553600,reward,79446.8125
DC-PPO (50M+50M),22604800,reward,79096.0078125
DC-PPO (50M+50M),22656000,reward,80431.328125
DC-PPO (50M+50M),22707200,reward,79277.515625
DC-PPO (50M+50M),22758400,reward,80109.1171875
DC-PPO (50M+50M),22809600,reward,79773.7265625
DC-PPO (50M+50M),22860800,reward,79974.171875
DC-PPO (50M+50M),22912000,reward,79353.265625
DC-PPO (50M+50M),22963200,reward,80312.8671875
DC-PPO (50M+50M),23014400,reward,80140.375
DC-PPO (50M+50M),23065600,reward,80501.6875
DC-PPO (50M+50M),23116800,reward,80443.3203125
DC-PPO (50M+50M),23168000,reward,79954.9765625
DC-PPO (50M+50M),23219200,reward,80088.7578125
DC-PPO (50M+50M),23270400,reward,80143.03125
DC-PPO (50M+50M),23321600,reward,79699.90625
DC-PPO (50M+50M),23372800,reward,79265.1171875
DC-PPO (50M+50M),23424000,reward,79171.296875
DC-PPO (50M+50M),23475200,reward,79721.8828125
DC-PPO (50M+50M),23526400,reward,80088.8984375
DC-PPO (50M+50M),23577600,reward,79130.5390625
DC-PPO (50M+50M),23628800,reward,79712.5703125
DC-PPO (50M+50M),23680000,reward,79300.4765625
DC-PPO (50M+50M),23731200,reward,80252.359375
DC-PPO (50M+50M),23782400,reward,80273.234375
DC-PPO (50M+50M),23833600,reward,80716.1171875
DC-PPO (50M+50M),23884800,reward,80489.2578125
DC-PPO (50M+50M),23936000,reward,80748.1953125
DC-PPO (50M+50M),23987200,reward,80856.984375
DC-PPO (50M+50M),24038400,reward,80723.65625
DC-PPO (50M+50M),24089600,reward,80119.7421875
DC-PPO (50M+50M),24140800,reward,79797.6796875
DC-PPO (50M+50M),24192000,reward,79992.4921875
DC-PPO (50M+50M),24243200,reward,79626.34375
DC-PPO (50M+50M),24294400,reward,81049.453125
DC-PPO (50M+50M),24345600,reward,80668.7734375
DC-PPO (50M+50M),24396800,reward,80574.8671875
DC-PPO (50M+50M),24448000,reward,80620.5703125
DC-PPO (50M+50M),24499200,reward,80990.4921875
DC-PPO (50M+50M),24550400,reward,81137.1484375
DC-PPO (50M+50M),24601600,reward,80798.953125
DC-PPO (50M+50M),24652800,reward,80517.0
DC-PPO (50M+50M),24704000,reward,79700.40625
DC-PPO (50M+50M),24755200,reward,79044.0546875
DC-PPO (50M+50M),24806400,reward,79926.9375
DC-PPO (50M+50M),24857600,reward,79509.4921875
